Designator,Mid X,Mid Y,Rotation,Layer
C1,56.3518,-71.220322,180.0,top
C2,56.225,-65.95,0.0,top
C3,74.9,-69.6,90.0,top
C4,72.975,-56.3625,90.0,top
C5,81.275,-49.1,270.0,top
C6,79.075,-49.1,270.0,top
C7,81.924124,-62.544624,270.0,top
C8,79.724124,-62.544624,270.0,top
D1,56.16,-68.47,0.0,top
D2,51.6,-55.6,270.0,top
D4,43.8,-55.6,270.0,top
D6,49.0,-55.6,270.0,top
D7,46.4,-55.6,270.0,top
J1,32.2,-65.78,180.0,top
J10,86.475,-57.125,180.0,top
J3,34.175,-52.9,270.0,top
J4,96.475,-57.7,90.0,top
L1,63.525,-66.85,270.0,top
R1,52.7625,-64.150002,270.0,top
R10,49.0,-51.15,90.0,top
R11,46.4,-51.17,90.0,top
R2,80.9,-69.65,270.0,top
R3,80.175,-57.3625,180.0,top
R4,72.975876,-47.949125,180.0,top
R5,73.625,-61.393749,180.0,top
R6,51.6,-51.15,90.0,top
R8,43.8,-51.15,90.0,top
U1,76.725,-65.156249,270.0,top
U2,76.075876,-51.711625,270.0,top
V1,56.14865,-63.199999,180.0,top
